Date,DailyMeanLevel,ReservoirEffectiveStorage,DailyMeanRainfall,Inflow,Outflow,Netflow,NanshiFlow,TotalRawWaterVolumeOfNanshiAndBeishi
2015/11/14,166.11,300.009,1.9,"1,376,884","2,167,884","-791,000","2,419,200","4,587,084"
2015/11/15,166.02,299.2,4,"1,289,308","2,167,308","-878,000","2,221,200","4,388,508"
2015/11/16,165.92,298.289,2,"1,294,016","2,171,016","-877,000","2,142,000","4,313,016"
2015/11/17,165.88,298.003,0,"768,000","504,000","264,000","2,055,600","2,559,600"
2015/11/18,165.86,297.821,0.1,"513,000","864,000","-351,000","1,944,000","2,808,000"
2015/11/19,165.82,297.452,0.5,"513,000","864,000","-351,000","1,825,200","2,689,200"
2015/11/20,165.72,296.579,35.1,"1,224,004","2,012,004","-788,000","1,762,200","3,774,204"
2015/11/21,166.03,299.306,15.7,"4,988,000","864,000","4,124,000","2,149,200","3,013,200"
2015/11/22,166.24,301.126,6.5,"1,657,000","864,000","793,000","2,177,640","3,041,640"
2015/11/23,166.33,301.893,11.5,"1,656,000","864,000","792,000","2,057,400","2,921,400"
2015/11/24,166.33,301.948,4,"1,478,036","2,007,036","-529,000","2,145,600","4,152,636"
2015/11/25,166.29,301.611,14.7,"864,000","864,000",0,"2,138,400","3,002,400"
2015/11/26,166.35,302.073,0.9,"1,568,000","864,000","704,000","2,246,400","3,110,400"
2015/11/27,166.34,302.04,0,"1,273,020","1,978,020","-705,000","1,972,800","3,950,820"
2015/11/28,166.29,301.552,0.1,"688,000","864,000","-176,000","1,834,200","2,698,200"
2015/11/29,166.25,301.262,0.5,"424,000","864,000","-440,000","1,746,000","2,610,000"
2015/11/30,166.21,300.869,7.2,"512,000","864,000","-352,000","1,728,000","2,592,000"
2015/12/1,166.12,300.053,2.1,"776,180","2,007,180","-1,231,000","1,714,320","3,721,500"
2015/12/2,166.03,299.262,1.1,"512,000","864,000","-352,000","1,555,200","2,419,200"
2015/12/3,165.99,298.936,5.7,"512,000","864,000","-352,000","1,555,200","2,419,200"
2015/12/4,165.93,298.446,0.9,"570,168","1,272,168","-702,000","1,495,440","2,767,608"
2015/12/5,165.86,297.814,3,"360,600","885,600","-525,000","1,424,160","2,309,760"
2015/12/6,165.8,297.295,17.9,"598,800","1,036,800","-438,000","1,481,400","2,518,200"
2015/12/7,165.8,297.254,3.5,"1,278,800","928,800","350,000","1,777,320","2,706,120"
2015/12/8,165.82,297.477,13.2,"1,360,600","1,272,600","88,000","1,778,400","3,051,000"
2015/12/9,165.92,298.322,25.4,"2,796,600","777,600","2,019,000","2,296,800","3,074,400"
2015/12/10,166.47,303.138,22.5,"6,944,976","239,976","6,705,000","4,384,800","4,624,776"
2015/12/11,167.02,308.004,4.5,"3,581,452","475,452","3,106,000","3,474,000","3,949,452"
2015/12/12,167.3,310.551,6.5,"2,129,800","172,800","1,957,000","2,745,000","2,917,800"
2015/12/13,167.45,311.85,0.9,"1,410,400","518,400","892,000","2,203,920","2,722,320"
2015/12/14,167.53,312.586,6.6,"1,207,200","583,200","624,000","1,733,040","2,316,240"
2015/12/15,167.58,313.028,2.5,"1,465,224","1,108,224","357,000","1,639,800","2,748,024"
2015/12/16,167.64,313.59,0.4,"1,316,200","691,200","625,000","1,679,400","2,370,600"
2015/12/17,167.69,313.999,0,"959,200","691,200","268,000","1,644,480","2,335,680"
2015/12/18,167.68,313.895,0,"686,208","1,133,208","-447,000","1,602,720","2,735,928"
2015/12/19,167.63,313.504,13,"596,000","864,000","-268,000","1,834,920","2,698,920"
2015/12/20,167.62,313.407,0.3,"864,000","864,000",0,"2,500,200","3,364,200"
2015/12/21,167.6,313.21,1.2,"597,000","864,000","-267,000","1,954,080","2,818,080"
2015/12/22,167.53,312.619,0,"284,768","1,266,768","-982,000","1,786,320","3,053,088"
2015/12/23,167.44,311.787,0,"151,000","864,000","-713,000","1,646,280","2,510,280"
2015/12/24,167.35,311.004,1.5,"120,600","921,600","-801,000","1,552,320","2,473,920"
2015/12/25,167.25,310.11,14.1,"473,032","1,363,032","-890,000","1,595,520","2,958,552"
2015/12/26,167.18,309.465,0.5,"331,000","864,000","-533,000","1,550,160","2,414,160"
2015/12/27,167.12,308.969,7.8,"420,000","864,000","-444,000","1,538,640","2,402,640"
2015/12/28,167.09,308.699,6.5,"775,000","864,000","-89,000","1,742,400","2,606,400"
2015/12/29,167.06,308.41,1.4,"823,236","1,267,236","-444,000","1,794,240","3,061,476"
2015/12/30,167.05,308.285,13,"1,042,000","864,000","178,000","1,773,360","2,637,360"
2015/12/31,167.09,308.64,0,"1,309,000","864,000","445,000","1,712,880","2,576,880"
2016/1/1,167.11,308.88,0.8,"1,355,056","1,267,056","88,000","1,802,880","3,069,936"
2016/1/2,167.13,309.039,0,"1,042,000","864,000","178,000","1,754,640","2,618,640"
2016/1/3,167.15,309.21,12.4,"1,042,000","864,000","178,000","1,714,320","2,578,320"
2016/1/4,167.21,309.732,14.5,"1,664,000","864,000","800,000","2,080,800","2,944,800"
2016/1/5,167.27,310.225,1.9,"1,445,848","1,267,848","178,000","1,913,760","3,181,608"
2016/1/6,167.31,310.592,20.4,"1,665,000","864,000","801,000","2,223,000","3,087,000"
2016/1/7,167.41,311.523,2.4,"1,699,000","540,000","1,159,000","2,499,840","3,039,840"
2016/1/8,167.58,313.017,3.5,"1,810,212","472,212","1,338,000","2,351,880","2,824,092"
2016/1/9,167.7,314.081,0.9,"1,017,400","302,400","715,000","2,213,280","2,515,680"
2016/1/10,167.71,314.174,0,"339,400","518,400","-179,000","2,003,760","2,522,160"
2016/1/11,167.7,314.085,9.8,"518,400","518,400",0,"1,918,800","2,437,200"
2016/1/12,167.69,313.973,11.2,"859,528","948,528","-89,000","2,147,040","3,095,568"
2016/1/13,167.74,314.454,14.8,"1,591,400","518,400","1,073,000","2,308,320","2,826,720"
2016/1/14,167.91,315.963,3,"2,130,400","518,400","1,612,000","2,404,800","2,923,200"
2016/1/15,167.95,316.344,2.6,"2,392,048","4,272,048","-1,880,000","2,196,000","6,468,048"
2016/1/16,167.83,315.232,1.3,"1,234,400","518,400","716,000","2,003,760","2,522,160"
2016/1/17,167.89,315.81,11.1,"1,145,400","518,400","627,000","1,979,280","2,497,680"
2016/1/18,167.95,316.359,0.3,"965,400","518,400","447,000","2,156,400","2,674,800"
2016/1/19,167.89,315.837,11,"1,675,240","4,269,240","-2,594,000","1,946,160","6,215,400"
2016/1/20,167.71,314.167,8.8,"875,400","518,400","357,000","1,877,040","2,395,440"
2016/1/21,167.78,314.822,12.5,"1,451,000","378,000","1,073,000","1,934,640","2,312,640"
2016/1/22,167.82,315.18,31.7,"3,194,728","4,267,728","-1,073,000","2,269,080","6,536,808"
2016/1/23,167.99,316.731,57.7,"12,383,316","6,641,316","5,742,000","7,592,760","14,234,076"
2016/1/24,168.58,322.03,9.4,"9,208,716","6,502,716","2,706,000","7,524,000","14,026,716"
2016/1/25,168.59,322.071,1.7,"4,886,212","6,601,212","-1,715,000","4,946,400","11,547,612"
2016/1/26,168.29,319.416,0,"3,289,024","6,618,024","-3,329,000","3,585,600","10,203,624"
2016/1/27,167.88,315.736,0,"2,698,688","6,638,688","-3,940,000","3,139,200","9,777,888"
2016/1/28,167.7,314.122,4.2,"1,345,360","1,881,360","-536,000","2,910,600","4,791,960"
2016/1/29,167.36,311.038,18.2,"2,404,440","6,679,440","-4,275,000","2,687,760","9,367,200"
2016/1/30,166.95,307.434,22,"3,853,508","6,692,508","-2,839,000","4,141,440","10,833,948"
2016/1/31,166.64,304.714,6,"3,798,808","6,716,808","-2,918,000","3,668,400","10,385,208"
2016/2/1,166.59,304.265,31.1,"4,673,736","2,729,736","1,944,000","4,003,200","6,732,936"
2016/2/2,167.09,308.671,20.7,"8,491,912","3,255,912","5,236,000","6,415,200","9,671,112"
2016/2/3,167.27,310.236,5.9,"5,955,704","6,667,704","-712,000","5,032,800","11,700,504"
2016/2/4,167.07,308.507,13.2,"4,351,036","6,660,036","-2,309,000","3,999,600","10,659,636"
2016/2/5,166.83,306.374,12.2,"4,698,256","6,647,256","-1,949,000","4,172,400","10,819,656"
2016/2/6,166.6,304.357,2.5,"4,374,672","6,672,672","-2,298,000","4,662,000","11,334,672"
2016/2/7,166.29,301.56,0,"3,467,816","6,726,816","-3,259,000","3,970,800","10,697,616"
2016/2/8,166.14,300.247,0,"2,196,272","2,635,272","-439,000","3,324,600","5,959,872"
2016/2/9,166.03,299.339,0,"1,698,648","2,664,648","-966,000","2,729,520","5,394,168"
2016/2/10,165.91,298.245,0,"1,475,024","2,703,024","-1,228,000","2,566,800","5,269,824"
2016/2/11,165.75,296.883,0,"1,337,412","2,738,412","-1,401,000","2,361,600","5,100,012"
2016/2/12,165.58,295.374,0.1,"1,171,444","2,742,444","-1,571,000","2,147,040","4,889,484"
2016/2/13,165.39,293.734,0,"1,000,056","2,743,056","-1,743,000","1,930,320","4,673,376"
2016/2/14,165.2,292.044,14.1,"1,184,060","2,748,060","-1,564,000","1,887,120","4,635,180"
2016/2/15,165.15,291.58,11.8,"1,129,000",0,"1,129,000","2,135,520","2,135,520"
2016/2/16,165.23,292.282,3.2,"1,075,672","1,857,672","-782,000","1,790,640","3,648,312"
2016/2/17,164.92,289.618,5.2,"1,182,440","3,349,440","-2,167,000","1,743,120","5,092,560"
2016/2/18,164.88,289.279,13.6,"1,123,000","864,000","259,000","1,782,720","2,646,720"
2016/2/19,164.93,289.704,1.7,"1,312,000","792,000","520,000","1,694,880","2,486,880"
2016/2/20,164.99,290.184,4.1,"1,211,000","864,000","347,000","1,627,920","2,491,920"
2016/2/21,165.01,290.383,0.2,"976,200","889,200","87,000","1,588,320","2,477,520"
2016/2/22,164.99,290.238,0.3,"740,200","1,087,200","-347,000","1,500,840","2,588,040"
2016/2/23,164.94,289.776,11.2,"640,576","1,593,576","-953,000","1,477,440","3,071,016"
2016/2/24,164.84,288.939,16.7,"1,203,000","1,116,000","87,000","1,699,200","2,815,200"
2016/2/25,164.93,289.661,7,"1,889,000","936,000","953,000","1,934,640","2,870,640"
2016/2/26,165.05,290.716,8.5,"2,128,452","1,087,452","1,041,000","2,273,040","3,360,492"
2016/2/27,165.19,291.927,6.2,"1,995,400","518,400","1,477,000","2,139,840","2,658,240"
2016/2/28,165.33,293.131,0.3,"1,389,400","518,400","871,000","1,994,400","2,512,800"
2016/2/29,165.41,293.868,0,"1,040,800","604,800","436,000","1,805,760","2,410,560"
2016/3/1,165.41,293.883,0,"852,392","1,201,392","-349,000","1,659,600","2,860,992"
2016/3/2,165.36,293.432,0,"543,200","979,200","-436,000","1,548,000","2,527,200"
2016/3/3,165.3,292.938,0,"514,800","1,036,800","-522,000","1,505,520","2,542,320"
2016/3/4,165.23,292.282,0.1,"478,492","1,434,492","-956,000","1,401,840","2,836,332"
2016/3/5,165.13,291.446,0,"674,200","1,195,200","-521,000","1,352,880","2,548,080"
2016/3/6,165.05,290.701,0,"557,600","1,425,600","-868,000","1,296,000","2,721,600"
2016/3/7,164.94,289.791,0.2,"602,200","1,555,200","-953,000","1,247,040","2,802,240"
2016/3/8,164.83,288.849,0.2,"647,000","1,512,000","-865,000","1,203,840","2,715,840"
2016/3/9,164.74,288.057,21.4,"777,400","1,382,400","-605,000","1,212,480","2,594,880"
2016/3/10,164.78,288.425,61.6,"3,301,400","878,400","2,423,000","2,581,200","3,459,600"
2016/3/11,165.57,295.251,30.4,"8,728,000",0,"8,728,000","6,246,000","6,246,000"
2016/3/12,166.28,301.494,5.3,"4,401,000",0,"4,401,000","3,985,200","3,985,200"
2016/3/13,166.67,304.98,25.6,"3,185,000",0,"3,185,000","3,184,200","3,184,200"
2016/3/14,167.17,309.374,11.9,"5,155,000",0,"5,155,000","5,472,000","5,472,000"
2016/3/15,167.65,313.627,4.8,"3,303,000",0,"3,303,000","4,320,000","4,320,000"
2016/3/16,167.96,316.419,3.8,"2,419,000",0,"2,419,000","3,826,800","3,826,800"
2016/3/17,168.14,318.067,0.2,"2,058,372","2,148,372","-90,000","3,081,600","5,229,972"
2016/3/18,167.94,316.251,28.3,"2,640,292","4,343,292","-1,703,000","3,039,480","7,382,772"
2016/3/19,167.82,315.206,14.3,"4,281,476","5,176,476","-895,000","3,808,800","8,985,276"
2016/3/20,167.62,313.378,0.7,"3,723,540","6,669,540","-2,946,000","3,294,000","9,963,540"
2016/3/21,167.35,310.989,2.3,"2,753,036","4,356,036","-1,603,000","3,033,000","7,389,036"
2016/3/22,167.12,308.958,1.1,"2,061,804","4,371,804","-2,310,000","2,681,280","7,053,084"
2016/3/23,166.86,306.658,24.8,"2,240,924","4,368,924","-2,128,000","2,584,800","6,953,724"
2016/3/24,166.7,305.175,16.4,"3,511,540","4,662,540","-1,151,000","3,668,400","8,330,940"
2016/3/25,166.65,304.784,21.8,"4,830,248","4,387,248","443,000","4,658,400","9,045,648"
2016/3/26,166.69,305.075,0,"4,111,384","4,377,384","-266,000","4,435,200","8,812,584"
2016/3/27,166.58,304.176,0.6,"2,969,180","4,383,180","-1,414,000","3,567,600","7,950,780"
2016/3/28,166.42,302.712,0.1,"1,975,848","2,239,848","-264,000","2,856,600","5,096,448"
2016/3/29,166.52,303.602,0,"1,513,060","1,866,060","-353,000","2,680,560","4,546,620"
2016/3/30,166.27,301.402,0,"1,644,936","4,374,936","-2,730,000","2,448,000","6,822,936"
2016/3/31,165.94,298.519,0.2,"1,424,308","4,408,308","-2,984,000","2,245,680","6,653,988"
2016/4/1,165.58,295.392,0,"1,257,976","4,577,976","-3,320,000","2,121,840","6,699,816"
2016/4/2,165.21,292.094,0,"1,206,044","4,510,044","-3,304,000","1,932,480","6,442,524"
2016/4/3,164.88,289.235,0,"923,880","3,692,880","-2,769,000","1,761,120","5,454,000"
2016/4/4,164.55,286.439,0.1,"844,948","3,687,948","-2,843,000","1,643,040","5,330,988"
2016/4/5,164.22,283.619,0.1,"900,544","3,731,544","-2,831,000","1,537,920","5,269,464"
2016/4/6,163.89,280.787,0,"823,804","3,642,804","-2,819,000","1,454,400","5,097,204"
